hotel,price,score,avg review,reviews count
Le Temple De Jeanne,US$303,8.8,Excellent,"1,495"
Hôtel Soft,US$229,7.7,Good,"1,296"
UCPA SPORT STATION HOSTEL PARIS,US$45,8.0,Very Good,"2,450"
Hotel CIS Paris Maurice Ravel,US$178,7.1,Good,"1,928"
Hotel Anya,US$91,7.4,Good,501
MIJE MARAIS,US$51,7.5,Good,"2,425"
25hours Hotel Terminus Nord,US$215,8.3,Very Good,"1,957"
Hôtel Korner Etoile,US$185,8.3,Very Good,738
Hôtel Hélios Opéra,US$310,8.3,Very Good,726
The People - Paris Bercy,US$49,8.8,Excellent,"3,914"
Mercure Paris Gare du Nord,US$176,7.4,Good,507
Hôtel Plaza Étoile,US$294,8.1,Very Good,928
Hotel CIS Paris Kellermann,US$150,7.3,Good,"3,312"
Hotel Campanile Paris-Bercy Village,US$154,7.9,Good,"5,336"
ibis Styles Paris Bercy,US$168,7.4,Good,"6,180"
Hotel Imperial Paris,US$171,8.1,Very Good,843
Absolute Hotel Paris République,US$69,7.1,Good,"2,479"
Hotel des Pyrénées,US$93,7.7,Good,"1,553"
Le Pradey,US$501,8.5,Very Good,"1,066"
Résidence du Pré,US$139,8.1,Very Good,"2,069"
Mercure Paris Gare De Lyon Opera Bastille,US$236,8.2,Very Good,"1,065"
Mercure Paris Vaugirard Porte De Versailles,US$201,8.2,Very Good,"1,394"
Kyriad Hotel XIII Italie Gobelins,US$171,8.0,Very Good,"3,679"
Hôtel d'Argenson,US$203,8.4,Very Good,"1,934"
B&B HOTEL Paris 17 Batignolles,US$186,7.9,Good,"9,075"
"voco Paris Montparnasse, an IHG Hotel",US$235,8.4,Very Good,"2,610"
Hotel des Arts - Cite Bergere,US$169,8.1,Very Good,"1,553"
Hotel Puy De Dôme,US$139,7.9,Good,991
Hôtel Océanic - Grands Magasins,US$130,8.5,Very Good,915
Novotel Paris Vaugirard Montparnasse,US$240,8.0,Very Good,"1,087"
